Date,Topic,Link
२०८० बैशाख २७,पूर्व प्रकशित सूचना अनुसार अनलाइन फारम भर्ने नेपाली विद्यार्थीहरूले अनलायन फारम पेश गर्ने बारे अत्यान्त जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1683703204_621999035_Notics%20(1).pdf
२०८० बैशाख ८,इण्डोनेशियको एक निजी विश्वविद्यालयल Universitas 17 Agustus 1945 (UNTAG) बाट प्रप्त हुने International Undergraduates Scholarship मा स्नातक तहमा अध्ययनका लागि आवेदन खुल्ला भएको सम्बन्धी जानकारीमूलक सूचना,https://moest.gov.np/upload_file/files/post/1682064989_544485176_Notics%20(1).pdf
२०७९ चैत्र २९,King Mongkut’s University of Technology North Bangkok ले शैक्षिक वर्ष २०२२/२३ को भर्ना खुल्ला भएको सम्बन्धी जानकारीमूलक सूचना :,https://moest.gov.np/upload_file/files/post/1681285432_1957525664_Notics.pdf
२०७९ चैत्र २७,बंगलादेश सरकारले नेपाल सरकारलाइ शैक्षिक सत्र २०२२।२०२३ का लागि MBBS र BDS विषयमा विद्यार्थी छनौट गरीएको सम्बन्धी जानकारीमूलक सूचना .,https://moest.gov.np/upload_file/files/post/1681103131_569413617_Notics1.pdf
२०७९ चैत्र २०,Bangladesh University of Engineering and Technology (BUET) ले शैक्षिक वर्ष २०२२/२३ को भर्ना खुल्ला भएको सम्बन्धी जानकारीमूलक सूचना :,https://moest.gov.np/upload_file/files/post/1680518803_1060335190_Notics%20(2).pdf
२०७९ चैत्र १३,काठमाण्डौँ फरेष्ट्री कलेजमा वि‍एस्सी फरेष्ट्री (B.Sc.Forestry) विषयको नि:शुल्क अध्ययन (छात्रवृत्तिमा) का लागि दरखास्त दिएका उम्मेदवारहरूको मनोनयन सूची प्रकाशन गरिएको सम्बन्धी सूचनाः,https://moest.gov.np/upload_file/files/post/1679907027_1566924324_notice%20of%20%20forestry%20KFC%202079%20(1).pdf
२०७९ चैत्र ९,काठमाण्डौँ फरेष्ट्री कलेजमा वि‍एस्सी फरेष्ट्री (B.Sc.Forestry) विषयको नि:शुल्क अध्ययन (छात्रवृत्तिमा) का लागि दरखास्त दिएका उम्मेदवारहरूको पूर्वमनोनयन सूची प्रकाशन गरिएको सम्बन्धी सूचनाः,https://moest.gov.np/upload_file/files/post/1679557023_1402062424_notice%20of%20%20forestry%20KFC%202079.pdf
२०७९ चैत्र ५,काठमाण्डौँ फरेष्ट्री कलेजमा वि‍एस्सी फरेष्ट्री (B.Sc.Forestry) विषयको नि:शुल्क अध्ययन (छात्रवृत्तिमा) का लागि दरखास्त दिएका उम्मेदवारहरूको योग्यताक्रमसूची प्रकाशन गरिएको सम्बन्धी सूचनाः,https://moest.gov.np/upload_file/files/post/1679214713_808948638_notice%20of%20%20forestry%20KFC%202079%20doc.%20(1).pdf
२०७९ फाल्गुण ३०,"शिक्षा , विज्ञान,  तथा प्रविधि मन्त्रालय अन्तर्गत बूढानीलकण्ठ स्कूल, काठमाडौं तथा साझेदारी कार्यक्रममा सहभागी विद्यालयहरुमा कक्षा ५ देखि छात्रवृक्तिमा छनोटका लागि सूचना प्रकाशित गरिएको छ। ",https://moest.gov.np/upload_file/files/post/1678779480_309437374_page-20230228045652-780.pdf
२०७९ फाल्गुण १९,काठमाण्डौँ फरेष्ट्री कलेजमा वि‍एस्सी फरेष्ट्री (B.Sc.Forestry) विषयको नि:शुल्क अध्ययन (छात्रवृत्तिमा) का लागि दरखास्त माग गरिएको सम्बन्धी सूचना :,https://moest.gov.np/upload_file/files/post/1677831070_274696896_notice%20of%20%20forestry%20KFC%202079%20(1).pdf
२०७९ माघ २५,"इण्डोनेशियान सरकारको उच्च शिक्षा,अनुसन्धान तथा प्रविधि महानिर्देशनालयले (KNB) Scholarship अन्तर्गत नेपाली विद्यार्थीहरुको  लागि विभिन्न विषयमा  अध्ययनको लागि  छात्रवृत्ति सम्बन्धी    जानकारी मूलक सूचना ",https://moest.gov.np/upload_file/files/post/1675853027_1723700539_Notics%20Indonesiya%20(1).pdf
२०७९ माघ २५,चीनको Tsinghua University ले अन्तराष्ट्रिय विद्यार्थीहरुलाइ 2023 का लागि Master's Program in Nuclear Engineering and Management विषयमा छात्रवृत्ति सम्बन्धी जानकारी मूलक सूचना,https://moest.gov.np/upload_file/files/post/1675853313_1117805892_Notics%20China%20(1).pdf
२०७९ माघ २२,Turkiye Government Scholarship to Foreign Students खुल्ला भएको सम्बन्धी जानकारीमूलक सूचना,https://moest.gov.np/upload_file/files/post/1675580411_992372710_Notics%20(1).pdf
२०७९ माघ १७,Brunei Government Scholarship to Foreign Students खुल्ला भएको सम्बन्धी जानकारीमूलक सूचना,https://moest.gov.np/upload_file/files/post/1675145091_786378834_Notics.pdf
२०७९ माघ १२,रोमानिया सरकारले विदेशी विद्यार्थीहरूका लागि छात्रवृत्तिमा आवेदन आह्वान भएको सम्बन्धी जानकारीमूलक सूचना ।,https://moest.gov.np/upload_file/files/post/1674808994_37836342_UPDATE1.pdf
